 =======================================
| Desired    ||            |            |
| Result     || 1st Arcana | 2nd Arcana |
|=======================================|
| [NFR00]    ||            |            |
|            ||            |            |
| - 0 -      ||            |            |
|            ||            |            |
| Fool       || Fool       | Fool       |
 ---------------------------------------


 =======================================
| Desired    ||            |            |
| Result     || 1st Arcana | 2nd Arcana |
|=======================================|
| [NFR01]    || Fool       | Hanged Man |
|            ||-------------------------|
| - I -      || Magician   | Magician   |
|            ||-------------------------|
| Magician   || Priestess  | Lovers     |
|            || Priestess  | Chariot    |
|            || Priestess  | Fortune    |
|            || Hierophant | Lovers     |
|            || Lovers     | Fortune    |
|            || Chariot    | Justice    |
|            || Hermit     | Moon       |
 ---------------------------------------


 =======================================
| Desired    ||            |            |
| Result     || 1st Arcana | 2nd Arcana |
|=======================================|
| [NFR02]    || Fool       | Lovers     |
|            || Fool       | Hermit     |
| - II -     || Magician   | Moon       |
|            ||-------------------------|
| Priestess  || Priestess  | Priestess  |
|            ||-------------------------|
|            || Empress    | Hierophant |
|            || Hierophant | Strength   |
|            || Hierophant | Star       |
|            || Lovers     | Temperance |
|            || Justice    | Hermit     |
|            || Justice    | Hanged Man |
|            || Strength   | Star       |
|            || Strength   | Sun        |
 ---------------------------------------


 =======================================
| Desired    ||            |            |
| Result     || 1st Arcana | 2nd Arcana |
|=======================================|
| [NFR03]    || Fool       | Sun        |
|            || Magician   | Tower      |
| - III -    || Magician   | Star       |
|            || Priestess  | Temperance |
| Empress    || Priestess  | Judgement  |
|            || Priestess  | Aeon       |
|            ||-------------------------|
|            || Empress    | Empress    |
|            ||-------------------------|
|            || Emperor    | Sun        |
|            || Hierophant | Death      |
|            || Lovers     | Moon       |
|            || Hanged Man | Moon       |
|            || Temperance | Moon       |
|            || Sun        | Aeon       |
 ---------------------------------------


 =======================================
| Desired    ||            |            |
| Result     || 1st Arcana | 2nd Arcana |
|=======================================|
| [NFR04]    || Fool       | Chariot    |
|            || Magician   | Lovers     |
| - IV -     || Magician   | Fortune    |
|            || Priestess  | Death      |
| Emperor    || Empress    | Justice    |
|            ||-------------------------|
|            || Emperor    | Emperor    |
|            ||-------------------------|
|            || Hierophant | Fortune    |
|            || Lovers     | Magician   |
|            || Lovers     | Chariot    |
|            || Justice    | Star       |
|            || Justice    | Sun        |
|            || Hermit     | Fortune    |
 ---------------------------------------


 =======================================
| Desired    ||            |            |
| Result     || 1st Arcana | 2nd Arcana |
|=======================================|
| [NFR05]    || Fool       | Magician   |
|            || Fool       | Temperance |
| - V -      || Magician   | Justice    |
|            || Emperor    | Judgement  |
|            ||-------------------------|
| Hierophant || Hierophant | Hierophant |
|            ||-------------------------|
|            || Lovers     | Strength   |
|            || Lovers     | Star       |
|            || Lovers     | Sun        |
|            || Hanged Man | Temperance |
 ---------------------------------------


 =======================================
| Desired    ||            |            |
| Result     || 1st Arcana | 2nd Arcana |
|=======================================|
| [NFR06]    || Fool       | Justice    |
|            || Magician   | Sun        |
| - VI -     || Priestess  | Empress    |
|            || Empress    | Hermit     |
| Lovers     || Empress    | Temperance |
|            || Empress    | Devil      |
|            || Empress    | Moon       |
|            || Empress    | Sun        |
|            || Hierophant | Hanged Man |
|            || Hierophant | Judgement  |
|            ||-------------------------|
|            || Lovers     | Lovers     |
|            ||-------------------------|
|            || Fortune    | Temperance |
|            || Devil      | Aeon       |
 ---------------------------------------


 =======================================
| Desired    ||            |            |
| Result     || 1st Arcana | 2nd Arcana |
|=======================================|
| [NFR07]    || Fool       | Emperor    |
|            || Magician   | Hermit     |
| - VII -    || Priestess  | Hierophant |
|            || Empress    | Strength   |
| Chariot    || Empress    | Hanged Man |
|            || Empress    | Strength   |
|            || Empress    | Tower      |
|            || Emperor    | Hierophant |
|            || Emperor    | Lovers     |
|            || Hierophant | Justice    |
|            || Hierophant | Hermit     |
|            || Lovers     | Justice    |
|            ||-------------------------|
|            || Chariot    | Chariot    |
|            ||-------------------------|
