 =======================================
|            || Normal Res | Normal Res |
| Desired    ||     - OR - |     - OR - |
| Result     || 3rd Arcana | 3rd Arcana |
|=======================================|
| [TFR00]    || Fool       | Fool       |
|            ||-------------------------|
| - 0 -      || Magician   | Justice    |
|            || Priestess  | Hermit     |
| Fool       || Empress    | Emperor    |
|            || Hierophant | Devil      |
|            || Lovers     | Fortune    |
|            || Chariot    | Death      |
|            || Death      | Judgement  |
|            || Tower      | Aeon       |
|            || Judgement  | Aeon       |
 ---------------------------------------


 =======================================
|            || Normal Res | Normal Res |
| Desired    ||     - OR - |     - OR - |
| Result     || 3rd Arcana | 3rd Arcana |
|=======================================|
| [TFR01]    || Fool       | Priestess  |
|            || Fool       | Hanged Man |
| - I -      ||-------------------------|
| Magician   || Magician   | Magician   |
|            ||-------------------------|
|            || Priestess  | Fortune    |
|            || Empress    | Devil      |
|            || Hierophant | Justice    |
|            || Chariot    | Justice    |
|            || Hermit     | Moon       |
|            || Devil      | Star       |
 ---------------------------------------


 =======================================
|            || Normal Res | Normal Res |
| Desired    ||     - OR - |     - OR - |
| Result     || 3rd Arcana | 3rd Arcana |
|=======================================|
| [TFR02]    || Fool       | Hermit     |
|            ||-------------------------|
| - II -     || Priestess  | Priestess  |
|            ||-------------------------|
| Priestess  || Empress    | Hierophant |
|            || Hierophant | Star       |
|            || Lovers     | Temperance |
|            || Justice    | Hanged Man |
|            || Strength   | Star       |
|            || Strength   | Sun        |
|            || Moon       | Judgement  |
 ---------------------------------------


 =======================================
|            || Normal Res | Normal Res |
| Desired    ||     - OR - |     - OR - |
| Result     || 3rd Arcana | 3rd Arcana |
|=======================================|
| [TFR03]    || Fool       | Sun        |
|            || Magician   | Tower      |
| - III -    || Priestess  | Temperance |
|            || Priestess  | Aeon       |
|            ||-------------------------|
| Empress    || Empress    | Empress    |
|            ||-------------------------|
|            || Emperor    | Sun        |
|            || Hierophant | Death      |
|            || Lovers     | Moon       |
|            || Strength   | Devil      |
|            || Hanged Man | Moon       |
|            || Temperance | Moon       |
|            || Sun        | Aeon       |
 ---------------------------------------


 =======================================
|            || Normal Res | Normal Res |
| Desired    ||     - OR - |     - OR - |
| Result     || 3rd Arcana | 3rd Arcana |
|=======================================|
| [TFR04]    || Fool       | Magician   |
|            || Magician   | Fortune    |
| - IV -     || Priestess  | Chariot    |
|            || Priestess  | Death      |
| Emperor    || Empress    | Justice    |
|            ||-------------------------|
|            || Emperor    | Emperor    |
|            ||-------------------------|
|            || Hierophant | Fortune    |
|            || Hierophant | Strength   |
|            || Justice    | Star       |
|            || Justice    | Sun        |
|            || Hermit     | Fortune    |
 ---------------------------------------


 =======================================
|            || Normal Res | Normal Res |
| Desired    ||     - OR - |     - OR - |
| Result     || 3rd Arcana | 3rd Arcana |
|=======================================|
| [TFR05]    || Fool       | Temperance |
|            || Priestess  | Emperor    |
| - V -      || Priestess  | Justice    |
| Hierophant || Emperor    | Judgement  |
|            ||-------------------------|
|            || Hierophant | Hierophant |
|            ||-------------------------|
|            || Lovers     | Hermit     |
|            || Lovers     | Strength   |
|            || Lovers     | Star       |
|            || Lovers     | Sun        |
|            || Hanged Man | Temperance |
 ---------------------------------------


 =======================================
|            || Normal Res | Normal Res |
| Desired    ||     - OR - |     - OR - |
| Result     || 3rd Arcana | 3rd Arcana |
|=======================================|
| [TFR06]    || Fool       | Emperor    |
|            || Magician   | Emperor    |
| - VI -     || Magician   | Sun        |
|            || Priestess  | Empress    |
| Lovers     || Empress    | Hermit     |
|            || Empress    | Temperance |
|            || Empress    | Moon       |
|            || Empress    | Sun        |
|            || Empress    | Judgement  |
|            || Emperor    | Hermit     |
|            || Hierophant | Judgement  |
|            ||-------------------------|
|            || Lovers     | Lovers     |
|            ||-------------------------|
|            || Fortune    | Temperance |
 ---------------------------------------


 =======================================
|            || Normal Res | Normal Res |
| Desired    ||     - OR - |     - OR - |
| Result     || 3rd Arcana | 3rd Arcana |
|=======================================|
| [TFR07]    || Fool       | Justice    |
|            || Priestess  | Hierophant |
| - VII -    || Priestess  | Strength   |
|            || Empress    | Strength   |
| Chariot    || Empress    | Hanged Man |
|            || Emperor    | Hierophant |
|            || Emperor    | Justice    |
|            || Hierophant | Hermit     |
|            ||-------------------------|
|            || Chariot    | Chariot    |
|            ||-------------------------|
|            || Justice    | Fortune    |
|            || Hermit     | Star       |
|            || Fortune    | Sun        |
 ---------------------------------------


 =======================================
|            || Normal Res | Normal Res |
| Desired    ||     - OR - |     - OR - |
| Result     || 3rd Arcana | 3rd Arcana |
|=======================================|
| [TFR08]    || Fool       | Fortune    |
|            || Fool       | Devil      |
| - VIII -   || Priestess  | Star       |
|            || Priestess  | Judgement  |
| Justice    || Emperor    | Chariot    |
|            || Chariot    | Strength   |
|            ||-------------------------|
|            || Justice    | Justice    |
|            ||-------------------------|
|            || Temperance | Judgement  |
 ---------------------------------------


 =======================================
|            || Normal Res | Normal Res |
| Desired    ||     - OR - |     - OR - |
| Result     || 3rd Arcana | 3rd Arcana |
|=======================================|
| [TFR09]    || Fool       | Hierophant |
|            || Magician   | Hierophant |
| - IX -     || Priestess  | Lovers     |
|            || Emperor    | Star       |
